school_id,name,country,base_url,careers_link,ats_platform,confidence,notes,scraper_status
110,California State University-Northridge,US,https://www.csun.edu/,https://careers.pageuppeople.com/873/nr/en-us/filter/?search-keyword=&work-type=instructional%20faculty%20%e2%80%93%20tenured%2ftenure-track&job-mail-subscribe-privacy=agree,PageUp,high,OK-2hop:OK:11,generic scraper (verified working)
114,Chapman University,US,https://www.chapman.edu/,https://apply.interfolio.com/44328/positions,own website,medium,OK-2hop:OK:1,generic scraper
115,California Institute of Technology,US,https://www.caltech.edu/,https://phf.tbe.taleo.net/phf03/ats/careers/v2/jobSearch?act=redirectCwsV2&cws=37&org=CALTECH,Taleo,high,OK-2hop:OK:10,generic scraper (verified working)
116,California State Polytechnic University-Pomona,US,https://www.cpp.edu/,https://careers.cpp.edu/po/en-us/filter/?search-keyword=&work-type=instructional%20faculty%20-%20temporary%2flecturer&work-type=instructional%20faculty%20%e2%80%93%20tenured%2ftenure-track&job-mail-subscribe-privacy=agree,own website,medium,OK:2,generic scraper
117,Simpson University,US,https://www.simpsonu.edu/,https://secure.onehcm.com/ta/Simpson.careers?CareersSearch&InFrameset=1&HostedBy=simpsonu.edu,own website,medium,OK-2hop:OK:5,generic scraper
118,University of Redlands,US,https://www.redlands.edu/,https://recruiting2.ultipro.com/UNI1089UOR/JobBoard/6af23b67-9dd3-4a6a-bda1-676b92a4fcb4/?q=&o=postedDateDesc&w=&wc=&we=&wpst=&f5=2751WKaSbU2nBtQmI-bCAA,UKG/Ultipro,high,OK-2hop:OK:9,adapter built
121,University of California-Riverside,US,https://www.ucr.edu/,https://aprecruit.ucr.edu/apply,own website,medium,OK-2hop:OK:8,generic scraper
123,Sonoma State University,US,https://sonoma.edu/,https://employment.sonoma.edu/en-us/filter/?search-keyword=&work-type=instructional%20faculty%20-%20temporary%2flecturer&job-mail-subscribe-privacy=agree,own website,medium,OK:2 [playwright],generic scraper
124,University of the West,US,https://www.uwest.edu/,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=31cd0b73-92c3-4ed2-84f8-5a6de61f8f2c&ccId=19000101_000001&lang=en_US&source=CC2&selectedMenuKey=CurrentOpenings,ADP,high,OK-2hop:OK:7,adapter built
125,California State University-Sacramento,US,https://www.csus.edu/,https://careers.csus.edu/en-us/filter/?job-mail-subscribe-privacy=agree&search-keyword=&work-type=instructional%20faculty%20-%20temporary%2flecturer&work-type=instructional%20faculty%20%e2%80%93%20tenured%2ftenure-track,own website,medium,OK:5,generic scraper
126,California State University-San Bernardino,US,https://www.csusb.edu/,https://careers.csusb.edu/sb/en-us/filter/?job-mail-subscribe-privacy=agree&search-keyword=&work-type=instructional%20faculty%20-%20temporary%2flecturer&work-type=instructional%20faculty%20%e2%80%93%20tenured%2ftenure-track,own website,medium,OK:7,generic scraper
